Unnamed: 0,id_covers,id_user,id_company,date_added,date_waste,kitchen,shift,covers
20303,78085,clef@fit.com,CBOI_Tartuffe,2022-04-20 08:13:15,2022-04-17 00:00:00,Le Clef,Lunch,40
20305,78083,clef@fit.com,CBOI_Tartuffe,2022-04-20 08:12:38,2022-04-19 00:00:00,Le Clef,Lunch,325
20795,77586,clef@fit.com,CBOI_Tartuffe,2022-04-13 04:28:58,2022-04-09 00:00:00,Le Clef,Lunch,50
20796,77585,clef@fit.com,CBOI_Tartuffe,2022-04-13 04:28:24,2022-04-12 00:00:00,Le Clef,Lunch,335
21188,77192,clef@fit.com,CBOI_Tartuffe,2022-04-06 08:11:44,2022-04-05 00:00:00,Le Clef,Lunch,335
21442,76928,clef@fit.com,CBOI_Tartuffe,2022-03-31 16:20:13,2022-03-31 00:00:00,Le Clef,Lunch,26
21463,76907,clef@fit.com,CBOI_Tartuffe,2022-03-31 09:33:10,2022-03-30 00:00:00,Le Clef,Lunch,4
21543,76825,clef@fit.com,CBOI_Tartuffe,2022-03-29 03:15:46,2022-03-29 00:00:00,Le Clef,Lunch,335
21547,76821,clef@fit.com,CBOI_Tartuffe,2022-03-28 14:45:17,2022-03-28 00:00:00,Le Clef,Lunch,8
21647,76720,clef@fit.com,CBOI_Tartuffe,2022-03-25 18:02:43,2022-03-25 00:00:00,Le Clef,Lunch,6
21713,76654,clef@fit.com,CBOI_Tartuffe,2022-03-24 18:01:38,2022-03-24 00:00:00,Le Clef,Lunch,13
21774,76591,clef@fit.com,CBOI_Tartuffe,2022-03-23 11:30:31,2022-03-23 00:00:00,Le Clef,Lunch,35
21776,76589,clef@fit.com,CBOI_Tartuffe,2022-03-23 11:27:53,2022-03-16 00:00:00,Le Clef,Lunch,3
21838,76516,clef@fit.com,CBOI_Tartuffe,2022-03-22 04:03:55,2022-03-21 00:00:00,Le Clef,Lunch,4
21924,76425,clef@fit.com,CBOI_Tartuffe,2022-03-21 08:55:27,2022-03-17 00:00:00,Le Clef,Lunch,17
21933,76416,clef@fit.com,CBOI_Tartuffe,2022-03-21 07:38:48,2022-03-18 00:00:00,Le Clef,Lunch,4
22008,79078,clef@fit.com,CBOI_Tartuffe,2022-05-05 17:31:38,2022-05-02 00:00:00,Le Clef,Lunch,30
22011,79075,clef@fit.com,CBOI_Tartuffe,2022-05-05 17:31:15,2022-05-05 00:00:00,Le Clef,Lunch,3
22410,78655,clef@fit.com,CBOI_Tartuffe,2022-04-29 17:33:53,2022-04-29 00:00:00,Le Clef,Lunch,5
22488,78577,clef@fit.com,CBOI_Tartuffe,2022-04-28 06:15:19,2022-04-26 00:00:00,Le Clef,Lunch,335
22668,78399,clef@fit.com,CBOI_Tartuffe,2022-04-26 03:53:16,2022-04-26 00:00:00,Le Clef,Lunch,325
35237,73085,clef@fit.com,CBOI_Tartuffe,2022-01-21 08:13:55,2022-01-20 00:00:00,Le Clef,Lunch,4
35624,73475,clef@fit.com,CBOI_Tartuffe,2022-01-27 09:44:57,2022-01-24 00:00:00,Le Clef,Lunch,2
35626,73477,clef@fit.com,CBOI_Tartuffe,2022-01-27 09:45:31,2022-01-27 00:00:00,Le Clef,Lunch,4
35754,73605,clef@fit.com,CBOI_Tartuffe,2022-01-31 06:49:09,2022-01-29 00:00:00,Le Clef,Lunch,0
36251,74103,clef@fit.com,CBOI_Tartuffe,2022-02-07 09:36:16,2022-02-04 00:00:00,Le Clef,Lunch,5
36254,74109,clef@fit.com,CBOI_Tartuffe,2022-02-07 09:42:01,2022-02-03 00:00:00,Le Clef,Lunch,5
36485,74344,clef@fit.com,CBOI_Tartuffe,2022-02-12 06:17:57,2022-01-28 00:00:00,Le Clef,Lunch,4
36488,74347,clef@fit.com,CBOI_Tartuffe,2022-02-12 06:17:57,2022-02-08 00:00:00,Le Clef,Lunch,0
36489,74348,clef@fit.com,CBOI_Tartuffe,2022-02-12 06:17:57,2022-02-09 00:00:00,Le Clef,Lunch,3
36490,74349,clef@fit.com,CBOI_Tartuffe,2022-02-12 06:17:57,2022-02-10 00:00:00,Le Clef,Lunch,0
36492,74351,clef@fit.com,CBOI_Tartuffe,2022-02-12 06:17:57,2022-02-11 00:00:00,Le Clef,Lunch,0
36537,74396,clef@fit.com,CBOI_Tartuffe,2022-02-14 09:12:42,2022-01-22 00:00:00,Le Clef,Lunch,0
36550,74409,clef@fit.com,CBOI_Tartuffe,2022-02-14 11:07:45,2022-01-21 00:00:00,Le Clef,Lunch,0
36552,74411,clef@fit.com,CBOI_Tartuffe,2022-02-14 11:07:45,2022-01-25 00:00:00,Le Clef,Lunch,0
36553,74412,clef@fit.com,CBOI_Tartuffe,2022-02-14 11:07:45,2022-01-26 00:00:00,Le Clef,Lunch,0
36554,74413,clef@fit.com,CBOI_Tartuffe,2022-02-14 11:07:45,2022-01-31 00:00:00,Le Clef,Lunch,0
36557,74416,clef@fit.com,CBOI_Tartuffe,2022-02-14 11:15:11,2022-01-24 00:00:00,Le Clef,Lunch,3
36558,74417,clef@fit.com,CBOI_Tartuffe,2022-02-14 11:15:45,2022-02-04 00:00:00,Le Clef,Lunch,2
36561,74420,clef@fit.com,CBOI_Tartuffe,2022-02-14 11:16:28,2022-02-05 00:00:00,Le Clef,Lunch,0
36562,74421,clef@fit.com,CBOI_Tartuffe,2022-02-14 11:17:22,2022-02-07 00:00:00,Le Clef,Lunch,0
36566,74425,clef@fit.com,CBOI_Tartuffe,2022-02-14 11:22:20,2022-02-12 00:00:00,Le Clef,Lunch,0
